Team, Outcome
Houston,2
Florida,1
Iowa St.,2
Arizona,4
Duke,3
Michigan,6
Purdue,3
Illinois,4
Tennessee,3
Michigan St.,2
Gonzaga,1
Virginia,1
Louisville,1
Arkansas,2
Connecticut,5
Kansas,1
Alabama,2
Vanderbilt,1
St. John's,2
Ohio St.,0
Saint Mary's,0
UCLA,1
North Carolina,0
Miami FL,1
Nebraska,2
Wisconsin,0
Texas Tech,1
Iowa,3
BYU,0
Utah St.,1
Villanova,0
Santa Clara,0
Clemson,0
NC State,0
Georgia,0
TCU,1
Kentucky,1
Northern Iowa,0
Hofstra,0
SMU,0
Texas A&M,1
Miami OH,0
Missouri,0
VCU,1
McNeese,0
UCF,0
Kennesaw St.,0
Saint Louis,1
Wright St.,0
North Dakota St.,0
Akron,0
Troy,0
High Point,1
Queens,0
Hawaii,0
Cal Baptist,0
Furman,0
Penn,0
Siena,0
Texas,2
Idaho,0
UMBC,0
South Florida,0
Tennessee St.,0
LIU,0
Howard,0
Lehigh,0
Prairie View,0
